run,seed,iteration,algorithm,best_fitness
1,42,21,Greedy,650.7777941362356
1,42,22,FOA,1995.4774378064233
1,42,22,PSO,2021.1894886625564
1,42,22,Random Search,1635.2881047789997
1,42,22,Greedy,650.7777941362356
1,42,23,FOA,1995.4774378064233
1,42,23,PSO,2021.1894886625564
1,42,23,Random Search,1635.2881047789997
1,42,23,Greedy,650.7777941362356
1,42,24,FOA,1995.4774378064233
1,42,24,PSO,2021.1894886625564
1,42,24,Random Search,1635.2881047789997
1,42,24,Greedy,650.7777941362356
1,42,25,FOA,1995.4774378064233
1,42,25,PSO,2021.1894886625564
1,42,25,Random Search,1635.2881047789997
1,42,25,Greedy,650.7777941362356
1,42,26,FOA,1995.4774378064233
1,42,26,PSO,2021.1894886625564
1,42,26,Random Search,1635.2881047789997
1,42,26,Greedy,650.7777941362356
1,42,27,FOA,1995.4774378064233
1,42,27,PSO,2021.1894886625564
1,42,27,Random Search,1635.2881047789997
1,42,27,Greedy,650.7777941362356
1,42,28,FOA,1995.4774378064233
1,42,28,PSO,2021.1894886625564
1,42,28,Random Search,1635.2881047789997
1,42,28,Greedy,650.7777941362356
1,42,29,FOA,1997.3953916057978
1,42,29,PSO,2021.1894886625564
1,42,29,Random Search,1635.2881047789997
1,42,29,Greedy,650.7777941362356
1,42,30,FOA,1997.3953916057978
1,42,30,PSO,2021.1894886625564
1,42,30,Random Search,1635.2881047789997
1,42,30,Greedy,650.7777941362356
1,42,31,FOA,1997.3953916057978
1,42,31,PSO,2021.1894886625564
1,42,31,Random Search,1635.2881047789997
1,42,31,Greedy,650.7777941362356
1,42,32,FOA,1997.3953916057978
1,42,32,PSO,2021.1894886625564
1,42,32,Random Search,1635.2881047789997
1,42,32,Greedy,650.7777941362356
1,42,33,FOA,1997.3953916057978
1,42,33,PSO,2021.1894886625564
1,42,33,Random Search,1635.2881047789997
1,42,33,Greedy,650.7777941362356
1,42,34,FOA,1997.3953916057978
1,42,34,PSO,2021.1894886625564
1,42,34,Random Search,1635.2881047789997
1,42,34,Greedy,650.7777941362356
1,42,35,FOA,1997.3953916057978
1,42,35,PSO,2021.1894886625564
1,42,35,Random Search,1635.2881047789997
1,42,35,Greedy,650.7777941362356
1,42,36,FOA,1997.3953916057978
1,42,36,PSO,2021.1894886625564
1,42,36,Random Search,1635.2881047789997
1,42,36,Greedy,650.7777941362356
1,42,37,FOA,1997.3953916057978
1,42,37,PSO,2021.1894886625564
1,42,37,Random Search,1635.2881047789997
1,42,37,Greedy,650.7777941362356
1,42,38,FOA,1997.3953916057978
1,42,38,PSO,2021.1894886625564
1,42,38,Random Search,1635.2881047789997
1,42,38,Greedy,650.7777941362356
1,42,39,FOA,1997.3953916057978
1,42,39,PSO,2021.1894886625564
1,42,39,Random Search,1635.2881047789997
1,42,39,Greedy,650.7777941362356
1,42,40,FOA,1997.3953916057978
1,42,40,PSO,2021.1894886625564
1,42,40,Random Search,1635.2881047789997
1,42,40,Greedy,650.7777941362356
1,42,41,FOA,1997.3953916057978
1,42,41,PSO,2021.1894886625564
1,42,41,Random Search,1635.2881047789997
1,42,41,Greedy,650.7777941362356
1,42,42,FOA,1997.3953916057978
1,42,42,PSO,2021.1894886625564
1,42,42,Random Search,1635.2881047789997
1,42,42,Greedy,650.7777941362356
1,42,43,FOA,1997.3953916057978
1,42,43,PSO,2021.1894886625564
1,42,43,Random Search,1635.2881047789997
1,42,43,Greedy,650.7777941362356
1,42,44,FOA,1997.3953916057978
1,42,44,PSO,2021.1894886625564
1,42,44,Random Search,1635.2881047789997
1,42,44,Greedy,650.7777941362356
1,42,45,FOA,1997.3953916057978
1,42,45,PSO,2029.6859626495566
1,42,45,Random Search,1635.2881047789997
1,42,45,Greedy,650.7777941362356
1,42,46,FOA,1997.3953916057978
1,42,46,PSO,2029.6859626495566
1,42,46,Random Search,1635.2881047789997
1,42,46,Greedy,650.7777941362356
1,42,47,FOA,1997.3953916057978
1,42,47,PSO,2029.6859626495566
1,42,47,Random Search,1635.2881047789997
1,42,47,Greedy,650.7777941362356
1,42,48,FOA,1997.3953916057978
1,42,48,PSO,2029.6859626495566
1,42,48,Random Search,1635.2881047789997
1,42,48,Greedy,650.7777941362356
1,42,49,FOA,1997.3953916057978
1,42,49,PSO,2029.6859626495566
1,42,49,Random Search,1635.2881047789997
1,42,49,Greedy,650.7777941362356
1,42,50,FOA,1997.3953916057978
1,42,50,PSO,2029.6859626495566
1,42,50,Random Search,1635.2881047789997
1,42,50,Greedy,650.7777941362356
2,43,1,FOA,1551.1344791406302
2,43,1,PSO,1529.9502945219701
2,43,1,Random Search,1601.6875994713605
2,43,1,Greedy,1382.720671657226
2,43,2,FOA,1622.2266857337975
2,43,2,PSO,1529.9502945219701
2,43,2,Random Search,1601.6875994713605
2,43,2,Greedy,1382.720671657226
2,43,3,FOA,1892.2492775421094
2,43,3,PSO,1694.9783593493628
2,43,3,Random Search,1601.6875994713605
2,43,3,Greedy,1382.720671657226
2,43,4,FOA,2007.9737122566607
2,43,4,PSO,1694.9783593493628
2,43,4,Random Search,1601.6875994713605
2,43,4,Greedy,1382.720671657226
2,43,5,FOA,2183.9309577767335
2,43,5,PSO,1776.4454382556246
2,43,5,Random Search,1601.6875994713605
2,43,5,Greedy,1382.720671657226
2,43,6,FOA,2183.9309577767335
2,43,6,PSO,1776.4454382556246
2,43,6,Random Search,1601.6875994713605
2,43,6,Greedy,1382.720671657226
2,43,7,FOA,2183.9309577767335
2,43,7,PSO,1776.4454382556246
2,43,7,Random Search,1601.6875994713605
2,43,7,Greedy,1382.720671657226
2,43,8,FOA,2183.9309577767335
2,43,8,PSO,1776.4454382556246
2,43,8,Random Search,1601.6875994713605
2,43,8,Greedy,1382.720671657226
2,43,9,FOA,2183.9309577767335
2,43,9,PSO,1776.4454382556246
2,43,9,Random Search,1601.6875994713605
2,43,9,Greedy,1382.720671657226
2,43,10,FOA,2183.9309577767335
2,43,10,PSO,1776.4454382556246
2,43,10,Random Search,1601.6875994713605
2,43,10,Greedy,1382.720671657226
2,43,11,FOA,2183.9309577767335
2,43,11,PSO,1776.4454382556246
2,43,11,Random Search,1601.6875994713605
2,43,11,Greedy,1382.720671657226
2,43,12,FOA,2183.9309577767335
2,43,12,PSO,1787.7227943611529
2,43,12,Random Search,1601.6875994713605
2,43,12,Greedy,1382.720671657226
2,43,13,FOA,2183.9309577767335
2,43,13,PSO,1787.7227943611529
2,43,13,Random Search,1601.6875994713605
2,43,13,Greedy,1382.720671657226
2,43,14,FOA,2183.9309577767335
2,43,14,PSO,1787.7227943611529
2,43,14,Random Search,1601.6875994713605
2,43,14,Greedy,1382.720671657226
2,43,15,FOA,2183.9309577767335
2,43,15,PSO,1787.7227943611529
2,43,15,Random Search,1601.6875994713605
2,43,15,Greedy,1382.720671657226
2,43,16,FOA,2183.9309577767335
2,43,16,PSO,1787.7227943611529
2,43,16,Random Search,1601.6875994713605
2,43,16,Greedy,1382.720671657226
2,43,17,FOA,2183.9309577767335
2,43,17,PSO,1787.7227943611529
2,43,17,Random Search,1639.4142723036744
2,43,17,Greedy,1382.720671657226
2,43,18,FOA,2183.9309577767335
2,43,18,PSO,1787.7227943611529
2,43,18,Random Search,1639.4142723036744
2,43,18,Greedy,1382.720671657226
2,43,19,FOA,2183.9309577767335
2,43,19,PSO,1787.7227943611529
2,43,19,Random Search,1639.4142723036744
2,43,19,Greedy,1382.720671657226
2,43,20,FOA,2183.9309577767335
2,43,20,PSO,1787.7227943611529
2,43,20,Random Search,1639.4142723036744
2,43,20,Greedy,1382.720671657226
2,43,21,FOA,2183.9309577767335
2,43,21,PSO,1787.7227943611529
2,43,21,Random Search,1639.4142723036744
2,43,21,Greedy,1382.720671657226
2,43,22,FOA,2183.9309577767335
2,43,22,PSO,1787.7227943611529
2,43,22,Random Search,1639.4142723036744
2,43,22,Greedy,1382.720671657226
2,43,23,FOA,2183.9309577767335
2,43,23,PSO,1787.7227943611529
2,43,23,Random Search,1639.4142723036744
2,43,23,Greedy,1382.720671657226
2,43,24,FOA,2183.9309577767335
2,43,24,PSO,1787.7227943611529
2,43,24,Random Search,1639.4142723036744
2,43,24,Greedy,1382.720671657226
2,43,25,FOA,2183.9309577767335
2,43,25,PSO,1787.7227943611529
2,43,25,Random Search,1639.4142723036744
2,43,25,Greedy,1382.720671657226
2,43,26,FOA,2183.9309577767335
2,43,26,PSO,1787.7227943611529
2,43,26,Random Search,1639.4142723036744
2,43,26,Greedy,1382.720671657226
2,43,27,FOA,2183.9309577767335
2,43,27,PSO,1787.7227943611529
2,43,27,Random Search,1639.4142723036744
2,43,27,Greedy,1382.720671657226
2,43,28,FOA,2183.9309577767335
2,43,28,PSO,1787.7227943611529
2,43,28,Random Search,1639.4142723036744
2,43,28,Greedy,1382.720671657226
2,43,29,FOA,2183.9309577767335
2,43,29,PSO,1787.7227943611529
2,43,29,Random Search,1639.4142723036744
2,43,29,Greedy,1382.720671657226
2,43,30,FOA,2183.9309577767335
2,43,30,PSO,1787.7227943611529
2,43,30,Random Search,1639.4142723036744
2,43,30,Greedy,1382.720671657226
2,43,31,FOA,2183.9309577767335
2,43,31,PSO,1787.7227943611529
2,43,31,Random Search,1639.4142723036744
2,43,31,Greedy,1382.720671657226
2,43,32,FOA,2183.9309577767335
2,43,32,PSO,1787.7227943611529
2,43,32,Random Search,1639.4142723036744
2,43,32,Greedy,1382.720671657226
2,43,33,FOA,2183.9309577767335
2,43,33,PSO,1787.7227943611529
2,43,33,Random Search,1639.4142723036744
2,43,33,Greedy,1382.720671657226
2,43,34,FOA,2183.9309577767335
2,43,34,PSO,1787.7227943611529
2,43,34,Random Search,1639.4142723036744
2,43,34,Greedy,1382.720671657226
2,43,35,FOA,2183.9309577767335
2,43,35,PSO,1787.7227943611529
2,43,35,Random Search,1639.4142723036744
2,43,35,Greedy,1382.720671657226
2,43,36,FOA,2183.9309577767335
2,43,36,PSO,1787.7227943611529
2,43,36,Random Search,1639.4142723036744
2,43,36,Greedy,1382.720671657226
2,43,37,FOA,2183.9309577767335
2,43,37,PSO,1787.7227943611529
2,43,37,Random Search,1639.4142723036744
2,43,37,Greedy,1382.720671657226
2,43,38,FOA,2183.9309577767335
2,43,38,PSO,1787.7227943611529
2,43,38,Random Search,1639.4142723036744
2,43,38,Greedy,1382.720671657226
2,43,39,FOA,2183.9309577767335
2,43,39,PSO,1787.7227943611529
2,43,39,Random Search,1639.4142723036744
2,43,39,Greedy,1382.720671657226
2,43,40,FOA,2183.9309577767335
2,43,40,PSO,1787.7227943611529
2,43,40,Random Search,1639.4142723036744
2,43,40,Greedy,1382.720671657226
2,43,41,FOA,2183.9309577767335
2,43,41,PSO,1787.7227943611529
2,43,41,Random Search,1639.4142723036744
2,43,41,Greedy,1382.720671657226
2,43,42,FOA,2183.9309577767335
2,43,42,PSO,1787.7227943611529
2,43,42,Random Search,1639.4142723036744
2,43,42,Greedy,1382.720671657226
2,43,43,FOA,2183.9309577767335
2,43,43,PSO,1787.7227943611529
2,43,43,Random Search,1639.4142723036744
2,43,43,Greedy,1382.720671657226
2,43,44,FOA,2183.9309577767335
2,43,44,PSO,1787.7227943611529
2,43,44,Random Search,1639.4142723036744
2,43,44,Greedy,1382.720671657226
2,43,45,FOA,2183.9309577767335
2,43,45,PSO,1787.7227943611529
2,43,45,Random Search,1639.4142723036744
2,43,45,Greedy,1382.720671657226
2,43,46,FOA,2183.9309577767335
2,43,46,PSO,1787.7227943611529
2,43,46,Random Search,1639.4142723036744
2,43,46,Greedy,1382.720671657226
2,43,47,FOA,2183.9309577767335
2,43,47,PSO,1787.7227943611529
2,43,47,Random Search,1639.4142723036744
2,43,47,Greedy,1382.720671657226
2,43,48,FOA,2183.9309577767335
2,43,48,PSO,1787.7227943611529
2,43,48,Random Search,1639.4142723036744
2,43,48,Greedy,1382.720671657226
2,43,49,FOA,2183.9309577767335
2,43,49,PSO,1788.0364417779786
2,43,49,Random Search,1639.4142723036744
2,43,49,Greedy,1382.720671657226
2,43,50,FOA,2183.9309577767335
2,43,50,PSO,1788.0364417779786
2,43,50,Random Search,1639.4142723036744
2,43,50,Greedy,1382.720671657226
3,44,1,FOA,987.0965432031886
3,44,1,PSO,1009.5050430740488
3,44,1,Random Search,1099.8840626471947
3,44,1,Greedy,689.5644920498921
3,44,2,FOA,1232.3316882815016
3,44,2,PSO,1013.0076829649145
3,44,2,Random Search,1099.8840626471947
3,44,2,Greedy,689.5644920498921
3,44,3,FOA,1285.4270376061431
3,44,3,PSO,1013.0076829649145
3,44,3,Random Search,1099.8840626471947
3,44,3,Greedy,689.5644920498921
3,44,4,FOA,1301.5102650516233
3,44,4,PSO,1013.0076829649145
3,44,4,Random Search,1099.8840626471947
3,44,4,Greedy,689.5644920498921
3,44,5,FOA,1301.5102650516233
3,44,5,PSO,1117.8833980761112
3,44,5,Random Search,1099.8840626471947
3,44,5,Greedy,689.5644920498921
3,44,6,FOA,1301.5102650516233
3,44,6,PSO,1178.2977868210678
3,44,6,Random Search,1099.8840626471947
3,44,6,Greedy,689.5644920498921
3,44,7,FOA,1301.5102650516233
3,44,7,PSO,1178.2977868210678
3,44,7,Random Search,1099.8840626471947
3,44,7,Greedy,689.5644920498921
3,44,8,FOA,1301.5102650516233
3,44,8,PSO,1178.2977868210678
3,44,8,Random Search,1099.8840626471947
3,44,8,Greedy,689.5644920498921
3,44,9,FOA,1301.5102650516233
3,44,9,PSO,1234.8923978123826
3,44,9,Random Search,1099.8840626471947
3,44,9,Greedy,689.5644920498921
3,44,10,FOA,1301.5102650516233
3,44,10,PSO,1234.8923978123826
3,44,10,Random Search,1099.8840626471947
3,44,10,Greedy,689.5644920498921
3,44,11,FOA,1301.5102650516233
3,44,11,PSO,1234.8923978123826
3,44,11,Random Search,1099.8840626471947
3,44,11,Greedy,689.5644920498921
3,44,12,FOA,1301.5102650516233
3,44,12,PSO,1234.8923978123826
3,44,12,Random Search,1099.8840626471947
3,44,12,Greedy,689.5644920498921
3,44,13,FOA,1301.5102650516233
3,44,13,PSO,1234.8923978123826
3,44,13,Random Search,1099.8840626471947
3,44,13,Greedy,689.5644920498921
3,44,14,FOA,1301.5102650516233
3,44,14,PSO,1234.8923978123826
3,44,14,Random Search,1099.8840626471947
3,44,14,Greedy,689.5644920498921
3,44,15,FOA,1301.5102650516233
3,44,15,PSO,1234.8923978123826
3,44,15,Random Search,1099.8840626471947
3,44,15,Greedy,689.5644920498921
3,44,16,FOA,1301.5102650516233
3,44,16,PSO,1234.8923978123826
3,44,16,Random Search,1099.8840626471947
3,44,16,Greedy,689.5644920498921
3,44,17,FOA,1301.5102650516233
3,44,17,PSO,1234.8923978123826
3,44,17,Random Search,1099.8840626471947
3,44,17,Greedy,689.5644920498921
3,44,18,FOA,1301.5102650516233
3,44,18,PSO,1234.8923978123826
3,44,18,Random Search,1099.8840626471947
3,44,18,Greedy,689.5644920498921
3,44,19,FOA,1301.5102650516233
3,44,19,PSO,1234.8923978123826
3,44,19,Random Search,1099.8840626471947
3,44,19,Greedy,689.5644920498921
3,44,20,FOA,1301.5102650516233
3,44,20,PSO,1234.8923978123826
3,44,20,Random Search,1099.8840626471947
3,44,20,Greedy,689.5644920498921
3,44,21,FOA,1301.5102650516233
3,44,21,PSO,1234.8923978123826
3,44,21,Random Search,1099.8840626471947
3,44,21,Greedy,689.5644920498921
3,44,22,FOA,1301.5102650516233
3,44,22,PSO,1262.2843487832065
3,44,22,Random Search,1099.8840626471947
3,44,22,Greedy,689.5644920498921
3,44,23,FOA,1307.3346203400697
3,44,23,PSO,1262.2843487832065
3,44,23,Random Search,1099.8840626471947
3,44,23,Greedy,689.5644920498921
3,44,24,FOA,1307.3346203400697
3,44,24,PSO,1262.2843487832065
3,44,24,Random Search,1099.8840626471947
3,44,24,Greedy,689.5644920498921
3,44,25,FOA,1307.3346203400697
3,44,25,PSO,1262.2843487832065
3,44,25,Random Search,1099.8840626471947
3,44,25,Greedy,689.5644920498921
3,44,26,FOA,1307.3346203400697
3,44,26,PSO,1262.2843487832065
3,44,26,Random Search,1099.8840626471947
3,44,26,Greedy,689.5644920498921
3,44,27,FOA,1307.3346203400697
3,44,27,PSO,1341.902842066569
3,44,27,Random Search,1099.8840626471947
3,44,27,Greedy,689.5644920498921
3,44,28,FOA,1307.3346203400697
3,44,28,PSO,1341.902842066569
3,44,28,Random Search,1099.8840626471947
3,44,28,Greedy,689.5644920498921
3,44,29,FOA,1307.3346203400697
3,44,29,PSO,1341.902842066569
3,44,29,Random Search,1099.8840626471947
3,44,29,Greedy,689.5644920498921
3,44,30,FOA,1307.3346203400697
3,44,30,PSO,1341.902842066569
3,44,30,Random Search,1099.8840626471947
3,44,30,Greedy,689.5644920498921
3,44,31,FOA,1307.3346203400697
3,44,31,PSO,1370.0242026189785
3,44,31,Random Search,1099.8840626471947
3,44,31,Greedy,689.5644920498921
3,44,32,FOA,1307.3346203400697
3,44,32,PSO,1382.8369135734179
3,44,32,Random Search,1099.8840626471947
3,44,32,Greedy,689.5644920498921
3,44,33,FOA,1307.3346203400697
3,44,33,PSO,1382.8369135734179
3,44,33,Random Search,1099.8840626471947
3,44,33,Greedy,689.5644920498921
3,44,34,FOA,1307.3346203400697
3,44,34,PSO,1382.8369135734179
3,44,34,Random Search,1099.8840626471947
3,44,34,Greedy,689.5644920498921
3,44,35,FOA,1307.3346203400697
3,44,35,PSO,1382.8369135734179
3,44,35,Random Search,1099.8840626471947
3,44,35,Greedy,689.5644920498921
3,44,36,FOA,1307.3346203400697
3,44,36,PSO,1382.8369135734179
3,44,36,Random Search,1099.8840626471947
3,44,36,Greedy,689.5644920498921
3,44,37,FOA,1307.3346203400697
3,44,37,PSO,1427.4166026796047
3,44,37,Random Search,1099.8840626471947
3,44,37,Greedy,689.5644920498921
3,44,38,FOA,1307.3346203400697
3,44,38,PSO,1427.4166026796047
3,44,38,Random Search,1099.8840626471947
3,44,38,Greedy,689.5644920498921
3,44,39,FOA,1307.3346203400697
3,44,39,PSO,1427.4166026796047
3,44,39,Random Search,1099.8840626471947
3,44,39,Greedy,689.5644920498921
3,44,40,FOA,1307.3346203400697
3,44,40,PSO,1427.4166026796047
3,44,40,Random Search,1099.8840626471947
3,44,40,Greedy,689.5644920498921
3,44,41,FOA,1307.3346203400697
3,44,41,PSO,1427.4166026796047
3,44,41,Random Search,1099.8840626471947
3,44,41,Greedy,689.5644920498921
3,44,42,FOA,1307.3346203400697
3,44,42,PSO,1427.4166026796047
3,44,42,Random Search,1099.8840626471947
3,44,42,Greedy,689.5644920498921
3,44,43,FOA,1307.3346203400697
3,44,43,PSO,1473.0016191914842
3,44,43,Random Search,1099.8840626471947
3,44,43,Greedy,689.5644920498921
3,44,44,FOA,1307.3346203400697
3,44,44,PSO,1473.0016191914842
3,44,44,Random Search,1099.8840626471947
3,44,44,Greedy,689.5644920498921
3,44,45,FOA,1307.3346203400697
3,44,45,PSO,1473.0016191914842
3,44,45,Random Search,1099.8840626471947
3,44,45,Greedy,689.5644920498921
3,44,46,FOA,1307.3346203400697
3,44,46,PSO,1473.0016191914842
3,44,46,Random Search,1099.8840626471947
3,44,46,Greedy,689.5644920498921
3,44,47,FOA,1307.3346203400697
3,44,47,PSO,1473.0016191914842
3,44,47,Random Search,1099.8840626471947
3,44,47,Greedy,689.5644920498921
3,44,48,FOA,1307.3346203400697
3,44,48,PSO,1473.0016191914842
3,44,48,Random Search,1099.8840626471947
3,44,48,Greedy,689.5644920498921
3,44,49,FOA,1307.3346203400697
3,44,49,PSO,1473.0016191914842
3,44,49,Random Search,1099.8840626471947
3,44,49,Greedy,689.5644920498921
3,44,50,FOA,1307.3346203400697
3,44,50,PSO,1473.0016191914842
3,44,50,Random Search,1099.8840626471947
3,44,50,Greedy,689.5644920498921
4,45,1,FOA,999.4491464933734
4,45,1,PSO,1090.887453049023
4,45,1,Random Search,685.7137130818962
4,45,1,Greedy,1001.8534006421653
4,45,2,FOA,1191.0339988072822
4,45,2,PSO,1093.9190824879502
4,45,2,Random Search,685.7137130818962
4,45,2,Greedy,1001.8534006421653
4,45,3,FOA,1456.308830287585
4,45,3,PSO,1093.9190824879502
4,45,3,Random Search,685.7137130818962
4,45,3,Greedy,1001.8534006421653
4,45,4,FOA,1456.308830287585
4,45,4,PSO,1093.9190824879502
4,45,4,Random Search,685.7137130818962
4,45,4,Greedy,1001.8534006421653
4,45,5,FOA,1621.9564009779929
4,45,5,PSO,1175.0309579970512
4,45,5,Random Search,723.2254001443473
4,45,5,Greedy,1001.8534006421653
4,45,6,FOA,1621.9564009779929
4,45,6,PSO,1175.0309579970512
4,45,6,Random Search,781.8372749150835
4,45,6,Greedy,1001.8534006421653
4,45,7,FOA,1621.9564009779929
4,45,7,PSO,1175.0309579970512
4,45,7,Random Search,807.1490404082125
4,45,7,Greedy,1001.8534006421653
4,45,8,FOA,1621.9564009779929
4,45,8,PSO,1175.0309579970512
4,45,8,Random Search,807.1490404082125
4,45,8,Greedy,1001.8534006421653
4,45,9,FOA,1621.9564009779929
4,45,9,PSO,1175.0309579970512
4,45,9,Random Search,807.1490404082125
4,45,9,Greedy,1001.8534006421653
4,45,10,FOA,1621.9564009779929
4,45,10,PSO,1175.0309579970512
4,45,10,Random Search,807.1490404082125
4,45,10,Greedy,1001.8534006421653
4,45,11,FOA,1621.9564009779929
4,45,11,PSO,1175.0309579970512
4,45,11,Random Search,807.1490404082125
4,45,11,Greedy,1001.8534006421653
4,45,12,FOA,1621.9564009779929
4,45,12,PSO,1175.0309579970512
4,45,12,Random Search,893.0493396191159
4,45,12,Greedy,1001.8534006421653
4,45,13,FOA,1621.9564009779929
4,45,13,PSO,1175.0309579970512
4,45,13,Random Search,893.0493396191159
4,45,13,Greedy,1001.8534006421653
4,45,14,FOA,1621.9564009779929
4,45,14,PSO,1175.0309579970512
4,45,14,Random Search,893.0493396191159
4,45,14,Greedy,1001.8534006421653
4,45,15,FOA,1621.9564009779929
4,45,15,PSO,1175.0309579970512
4,45,15,Random Search,893.0493396191159
4,45,15,Greedy,1001.8534006421653
4,45,16,FOA,1621.9564009779929
4,45,16,PSO,1175.0309579970512
4,45,16,Random Search,893.0493396191159
4,45,16,Greedy,1001.8534006421653
4,45,17,FOA,1621.9564009779929
4,45,17,PSO,1175.0309579970512
4,45,17,Random Search,893.0493396191159
4,45,17,Greedy,1001.8534006421653
4,45,18,FOA,1621.9564009779929
4,45,18,PSO,1175.0309579970512
4,45,18,Random Search,893.0493396191159
4,45,18,Greedy,1001.8534006421653
4,45,19,FOA,1621.9564009779929
4,45,19,PSO,1300.3136321297757
4,45,19,Random Search,893.0493396191159
4,45,19,Greedy,1001.8534006421653
4,45,20,FOA,1621.9564009779929
4,45,20,PSO,1300.3136321297757
4,45,20,Random Search,1084.4162587813905
4,45,20,Greedy,1001.8534006421653
4,45,21,FOA,1621.9564009779929
4,45,21,PSO,1309.8340344466342
4,45,21,Random Search,1084.4162587813905
4,45,21,Greedy,1001.8534006421653
4,45,22,FOA,1621.9564009779929
4,45,22,PSO,1309.8340344466342
4,45,22,Random Search,1084.4162587813905
4,45,22,Greedy,1001.8534006421653
4,45,23,FOA,1621.9564009779929
4,45,23,PSO,1309.8340344466342
4,45,23,Random Search,1084.4162587813905
4,45,23,Greedy,1001.8534006421653
4,45,24,FOA,1621.9564009779929
4,45,24,PSO,1309.8340344466342
4,45,24,Random Search,1084.4162587813905
4,45,24,Greedy,1001.8534006421653
4,45,25,FOA,1621.9564009779929
4,45,25,PSO,1309.8340344466342
4,45,25,Random Search,1084.4162587813905
4,45,25,Greedy,1001.8534006421653
4,45,26,FOA,1621.9564009779929
4,45,26,PSO,1309.8340344466342
4,45,26,Random Search,1084.4162587813905
4,45,26,Greedy,1001.8534006421653
4,45,27,FOA,1621.9564009779929
4,45,27,PSO,1333.9374078899198
4,45,27,Random Search,1084.4162587813905
4,45,27,Greedy,1001.8534006421653
4,45,28,FOA,1621.9564009779929
4,45,28,PSO,1333.9374078899198
4,45,28,Random Search,1084.4162587813905
4,45,28,Greedy,1001.8534006421653
4,45,29,FOA,1621.9564009779929
4,45,29,PSO,1333.9374078899198
4,45,29,Random Search,1084.4162587813905
4,45,29,Greedy,1001.8534006421653
4,45,30,FOA,1621.9564009779929
4,45,30,PSO,1333.9374078899198
4,45,30,Random Search,1084.4162587813905
4,45,30,Greedy,1001.8534006421653
4,45,31,FOA,1621.9564009779929
4,45,31,PSO,1333.9374078899198
4,45,31,Random Search,1084.4162587813905
4,45,31,Greedy,1001.8534006421653
4,45,32,FOA,1621.9564009779929
